2026-02-22T08:32:01.241837 | Unknown | 39.8% | bbox=(240, 82, 178, 178)
2026-02-22T08:32:01.496451 | Unknown | 39.8% | bbox=(240, 82, 180, 180)
2026-02-22T08:32:01.667568 | Unknown | 39.7% | bbox=(240, 83, 180, 180)
2026-02-22T08:32:01.816859 | Unknown | 39.7% | bbox=(241, 84, 178, 178)
2026-02-22T08:32:01.960978 | Unknown | 39.8% | bbox=(244, 83, 183, 183)
2026-02-22T08:32:02.121927 | Unknown | 39.8% | bbox=(248, 83, 183, 183)
2026-02-22T08:32:02.273522 | Unknown | 39.7% | bbox=(247, 81, 185, 185)
2026-02-22T08:32:02.442441 | Unknown | 39.9% | bbox=(248, 83, 188, 188)
2026-02-22T08:32:02.607669 | Unknown | 39.9% | bbox=(252, 84, 184, 184)
2026-02-22T08:32:02.763254 | Unknown | 40.0% | bbox=(253, 83, 187, 187)
2026-02-22T08:32:02.921494 | Unknown | 40.0% | bbox=(255, 84, 186, 186)
2026-02-22T08:32:03.077720 | Unknown | 39.9% | bbox=(257, 85, 182, 182)
2026-02-22T08:32:03.233866 | Unknown | 39.9% | bbox=(253, 80, 192, 192)
2026-02-22T08:32:03.407526 | Unknown | 39.9% | bbox=(258, 84, 184, 184)
2026-02-22T08:32:03.555857 | Unknown | 39.8% | bbox=(261, 87, 179, 179)
2026-02-22T08:32:03.719089 | Unknown | 39.9% | bbox=(259, 83, 187, 187)
2026-02-22T08:32:03.865666 | Unknown | 39.9% | bbox=(259, 87, 184, 184)
2026-02-22T08:32:04.020327 | Unknown | 39.8% | bbox=(263, 89, 178, 178)
2026-02-22T08:32:04.176511 | Unknown | 39.9% | bbox=(260, 88, 181, 181)
2026-02-22T08:32:04.350478 | Unknown | 39.9% | bbox=(260, 88, 181, 181)
2026-02-22T08:32:04.525369 | Unknown | 39.9% | bbox=(259, 86, 187, 187)
2026-02-22T08:32:04.716359 | Unknown | 39.9% | bbox=(260, 87, 184, 184)
2026-02-22T08:32:04.907160 | Unknown | 39.9% | bbox=(260, 87, 184, 184)
2026-02-22T08:32:05.078542 | Unknown | 39.9% | bbox=(257, 84, 190, 190)
2026-02-22T08:32:05.240859 | Unknown | 39.9% | bbox=(259, 86, 186, 186)
2026-02-22T08:32:05.407229 | Unknown | 39.9% | bbox=(262, 87, 183, 183)
2026-02-22T08:32:05.564103 | Unknown | 39.9% | bbox=(266, 87, 180, 180)
2026-02-22T08:32:05.725002 | Unknown | 39.9% | bbox=(265, 87, 183, 183)
2026-02-22T08:32:05.890940 | Unknown | 39.8% | bbox=(267, 89, 180, 180)
2026-02-22T08:32:06.053329 | Unknown | 39.9% | bbox=(271, 93, 175, 175)
2026-02-22T08:32:06.228053 | Unknown | 39.8% | bbox=(267, 91, 179, 179)
2026-02-22T08:32:06.389755 | Unknown | 39.9% | bbox=(263, 87, 184, 184)
2026-02-22T08:32:06.555188 | Unknown | 39.9% | bbox=(265, 88, 183, 183)
2026-02-22T08:32:06.711281 | Unknown | 39.8% | bbox=(266, 89, 180, 180)
2026-02-22T08:32:06.865866 | Unknown | 39.9% | bbox=(263, 85, 188, 188)
2026-02-22T08:32:07.036411 | Unknown | 39.8% | bbox=(264, 88, 183, 183)
2026-02-22T08:32:07.197974 | Unknown | 39.8% | bbox=(266, 90, 180, 180)
2026-02-22T08:32:07.357817 | Unknown | 39.9% | bbox=(266, 88, 181, 181)
2026-02-22T08:32:07.517481 | Unknown | 39.9% | bbox=(267, 87, 181, 181)
2026-02-22T08:32:07.687484 | Unknown | 39.9% | bbox=(268, 89, 179, 179)
2026-02-22T08:32:07.853697 | Unknown | 39.8% | bbox=(265, 88, 181, 181)
2026-02-22T08:32:08.013268 | Unknown | 39.9% | bbox=(266, 87, 183, 183)
2026-02-22T08:32:08.178480 | Unknown | 39.9% | bbox=(264, 88, 184, 184)
2026-02-22T08:32:08.336926 | Unknown | 39.9% | bbox=(265, 87, 185, 185)
2026-02-22T08:32:08.492654 | Unknown | 39.9% | bbox=(266, 86, 184, 184)
2026-02-22T08:32:08.660185 | Unknown | 39.9% | bbox=(263, 85, 188, 188)
2026-02-22T08:32:08.836743 | Unknown | 39.8% | bbox=(265, 86, 182, 182)
2026-02-22T08:32:09.004808 | Unknown | 39.8% | bbox=(265, 86, 183, 183)
2026-02-22T08:32:09.162420 | Unknown | 39.9% | bbox=(265, 85, 185, 185)
2026-02-22T08:32:09.321839 | Unknown | 39.9% | bbox=(267, 86, 184, 184)
2026-02-22T08:32:09.488305 | Unknown | 40.0% | bbox=(270, 91, 180, 180)
2026-02-22T08:32:09.937911 | Unknown | 39.9% | bbox=(268, 90, 182, 182)
2026-02-22T08:32:10.186553 | Unknown | 39.9% | bbox=(269, 92, 180, 180)
